age,income,city,bought
50,112012,Hyderabad,1
39,37240,Mumbai,0
61,65687,Mumbai,1
30,44313,Delhi,0
20,57092,Chennai,0
57,136376,Delhi,1
47,79321,Hyderabad,1
30,119155,Chennai,1
49,77383,Mumbai,1
27,110990,Delhi,1
24,127029,Chennai,0
32,48053,Hyderabad,0
47,31582,Hyderabad,0
33,145254,Delhi,1
47,42477,Chennai,0
60,94616,Hyderabad,1
56,66588,Chennai,1
57,131824,Hyderabad,1
45,133864,Hyderabad,1
46,142598,Mumbai,1
65,137917,Chennai,1
46,58972,Mumbai,0
58,61347,Hyderabad,1
49,107149,Mumbai,1
35,82654,Delhi,1
63,62450,Mumbai,1
35,69020,Bangalore,1
52,35561,Mumbai,0
27,55311,Chennai,0
62,45028,Mumbai,0
22,79377,Chennai,0
39,96121,Chennai,1
44,33161,Mumbai,0
44,76049,Hyderabad,1
62,27560,Hyderabad,0
42,87518,Delhi,1
40,64139,Chennai,1
44,95545,Hyderabad,1
56,142677,Mumbai,1
49,53760,Bangalore,0
45,88654,Delhi,1
42,69057,Chennai,1
64,46632,Chennai,0
26,106560,Hyderabad,1
19,143872,Chennai,0
55,98975,Delhi,1
23,109246,Chennai,0
26,138619,Chennai,1
29,31590,Bangalore,0
42,67906,Mumbai,1
47,67840,Bangalore,1
42,61471,Chennai,1
34,134433,Delhi,1
48,27540,Hyderabad,0
21,149770,Bangalore,0
32,110215,Delhi,1
59,30276,Delhi,0
33,51130,Delhi,0
57,44973,Mumbai,0
26,87070,Delhi,1
54,149224,Mumbai,1
47,116680,Bangalore,1
41,46992,Hyderabad,0
56,123032,Delhi,1
28,65768,Delhi,1
55,28365,Bangalore,0
54,113781,Chennai,1
43,148400,Mumbai,1
22,102607,Mumbai,0
24,116382,Bangalore,0
61,103697,Delhi,1
54,127581,Delhi,1
40,94827,Chennai,1
60,73571,Delhi,1
50,109874,Bangalore,1
18,136355,Chennai,0
49,38833,Chennai,0
41,108307,Chennai,1
63,45052,Chennai,0
29,121180,Hyderabad,1
59,60400,Hyderabad,1
52,126533,Chennai,1
47,82091,Hyderabad,1
35,67245,Mumbai,1
23,61559,Chennai,0
33,123366,Chennai,1
54,104997,Chennai,1
39,28761,Chennai,0
38,48834,Chennai,0
31,71507,Bangalore,1
39,61655,Hyderabad,1
62,140357,Bangalore,1
53,26330,Hyderabad,0
30,36221,Mumbai,0
64,78271,Chennai,1
53,124374,Mumbai,1
62,87402,Chennai,1
46,128931,Delhi,1
23,63566,Mumbai,0
43,115673,Mumbai,1
37,112026,Hyderabad,1
41,87031,Hyderabad,1
51,70056,Chennai,1
65,97140,Bangalore,1
40,117124,Chennai,1
35,65189,Bangalore,1
32,40814,Mumbai,0
38,40670,Hyderabad,0
62,49267,Mumbai,0
31,121810,Chennai,1
35,119972,Hyderabad,1
51,103222,Bangalore,1
24,134134,Mumbai,0
36,54816,Bangalore,0
29,64618,Delhi,1
63,95010,Mumbai,1
35,30965,Delhi,0
53,63290,Mumbai,1
58,138830,Chennai,1
24,139389,Delhi,0
54,62268,Chennai,1
48,82733,Bangalore,1
29,31734,Bangalore,0
48,39953,Delhi,0
43,89454,Delhi,1
54,107502,Delhi,1
27,44555,Hyderabad,0
37,36164,Mumbai,0
25,98147,Chennai,0
56,103135,Hyderabad,1
32,126671,Hyderabad,1
42,84049,Chennai,1
37,137743,Hyderabad,1
45,65026,Hyderabad,1
57,32894,Hyderabad,0
65,38006,Mumbai,0
58,52659,Bangalore,0
60,35641,Mumbai,0
33,47782,Hyderabad,0
22,45517,Delhi,0
44,84048,Hyderabad,1
48,63175,Delhi,1
32,62762,Bangalore,1
62,137670,Chennai,1
22,115096,Mumbai,0
34,128262,Hyderabad,1
60,130369,Mumbai,1
45,40043,Hyderabad,0
32,109886,Mumbai,1
35,133348,Mumbai,1
22,32816,Mumbai,0
37,102993,Hyderabad,1
36,82560,Delhi,1
47,115266,Bangalore,1
62,77757,Bangalore,1
50,95776,Chennai,1
46,35543,Hyderabad,0
20,141578,Chennai,0
65,67247,Hyderabad,1
34,28390,Delhi,0
32,113381,Hyderabad,1
55,149621,Delhi,1
61,132665,Bangalore,1
54,30273,Mumbai,0
48,93021,Chennai,1
35,48788,Hyderabad,0
45,108202,Chennai,1
23,86605,Bangalore,0
44,68687,Bangalore,1
60,38710,Mumbai,0
39,78955,Chennai,1
36,111846,Chennai,1
53,29809,Chennai,0
23,66224,Bangalore,0
38,40194,Chennai,0
50,133124,Delhi,1
60,138949,Hyderabad,1
47,79165,Delhi,1
30,92952,Bangalore,1
57,124148,Chennai,1
58,82939,Delhi,1
31,60003,Hyderabad,1
26,146591,Bangalore,1
46,140454,Chennai,1
25,28783,Hyderabad,0
33,118032,Mumbai,1
37,97199,Delhi,1
53,78476,Delhi,1
32,135284,Delhi,1
47,149133,Delhi,1
59,134070,Mumbai,1
49,147244,Bangalore,1
50,117459,Bangalore,1
44,134408,Chennai,1
48,56946,Chennai,0
53,43958,Chennai,0
30,145831,Hyderabad,1
50,122818,Mumbai,1
22,61208,Chennai,0
39,147453,Hyderabad,1
35,132551,Delhi,1
36,120164,Bangalore,1
55,101011,Chennai,1
27,83529,Hyderabad,1
48,70236,Bangalore,1
53,124991,Hyderabad,1
42,84682,Bangalore,1
30,116422,Mumbai,1
54,75196,Mumbai,1
44,30720,Bangalore,0
65,86993,Chennai,1
42,111991,Mumbai,1
49,29852,Mumbai,0
50,102356,Bangalore,1
24,139581,Chennai,0
24,93937,Chennai,0
18,119692,Mumbai,0
44,139154,Mumbai,1
22,86537,Bangalore,0
39,106691,Chennai,1
59,35527,Bangalore,0
61,137635,Hyderabad,1
42,66505,Chennai,1
52,29705,Hyderabad,0
22,55771,Bangalore,0
32,122880,Delhi,1
45,37903,Delhi,0
46,46805,Bangalore,0
19,31028,Bangalore,0
21,63452,Bangalore,0
41,81450,Mumbai,1
33,94621,Chennai,1
54,114364,Mumbai,1
28,47946,Delhi,0
57,139142,Chennai,1
57,114539,Mumbai,1
49,144646,Hyderabad,1
27,55433,Chennai,0
58,58289,Chennai,0
34,112404,Delhi,1
47,143123,Bangalore,1
61,96643,Mumbai,1
22,82898,Bangalore,0
55,64210,Chennai,1
62,57780,Chennai,0
37,51111,Chennai,0
48,38979,Mumbai,0
42,99963,Bangalore,1
54,63780,Bangalore,1
19,133794,Chennai,0
35,26061,Hyderabad,0
61,127014,Delhi,1
56,122671,Chennai,1
36,126677,Mumbai,1
56,130110,Bangalore,1
32,108442,Mumbai,1
57,57850,Mumbai,0
58,37735,Delhi,0
37,128364,Chennai,1
20,100965,Bangalore,0
64,42224,Delhi,0
36,67823,Chennai,1
29,51318,Mumbai,0
52,139879,Bangalore,1
51,90771,Bangalore,1
28,58681,Chennai,0
36,122853,Bangalore,1
25,86385,Delhi,0
27,123848,Mumbai,1
61,119924,Chennai,1
53,72942,Delhi,1
43,26824,Bangalore,0
52,41199,Chennai,0
41,113188,Bangalore,1
55,74941,Bangalore,1
24,113452,Mumbai,0
48,28280,Hyderabad,0
53,67992,Hyderabad,1
32,109889,Delhi,1
58,132984,Chennai,1
62,64608,Chennai,1
25,43320,Delhi,0
20,64893,Chennai,0
25,37739,Mumbai,0
52,42781,Chennai,0
47,73629,Hyderabad,1
44,101983,Mumbai,1
44,110841,Delhi,1
49,105694,Chennai,1
35,29288,Bangalore,0
31,83115,Chennai,1
33,137125,Bangalore,1
24,114873,Bangalore,0
52,143187,Bangalore,1
21,77184,Bangalore,0
30,41011,Chennai,0
23,111870,Mumbai,0
59,108819,Hyderabad,1
19,31629,Bangalore,0
33,41505,Hyderabad,0
31,33992,Hyderabad,0
31,101858,Mumbai,1
32,68064,Mumbai,1
56,25371,Bangalore,0
27,42038,Hyderabad,0
34,129662,Mumbai,1
25,111646,Delhi,0
26,26947,Bangalore,0
33,102182,Bangalore,1
19,47838,Bangalore,0
21,41614,Chennai,0
51,39896,Delhi,0
48,83756,Bangalore,1
50,102812,Delhi,1
46,91039,Mumbai,1
57,30683,Hyderabad,0
37,85036,Delhi,1
21,87781,Chennai,0
45,114928,Delhi,1
49,118375,Chennai,1
22,142868,Delhi,0
38,104730,Mumbai,1
22,41540,Bangalore,0
57,107978,Hyderabad,1
53,118343,Bangalore,1
42,103301,Hyderabad,1
36,84469,Hyderabad,1
56,81387,Delhi,1
62,39996,Hyderabad,0
64,138441,Mumbai,1
45,84186,Mumbai,1
44,69424,Chennai,1
43,79524,Delhi,1
38,80936,Bangalore,1
60,58408,Bangalore,0
27,115023,Chennai,1
22,36957,Delhi,0
23,81606,Delhi,0
65,121835,Bangalore,1
26,97924,Delhi,1
55,98608,Hyderabad,1
39,112819,Delhi,1
44,71346,Chennai,1
64,31743,Bangalore,0
56,65953,Bangalore,1
24,100748,Hyderabad,0
31,45280,Chennai,0
32,136054,Delhi,1
40,135804,Hyderabad,1
41,40058,Bangalore,0
54,54643,Chennai,0
53,125588,Hyderabad,1
57,113470,Hyderabad,1
19,104822,Bangalore,0
19,48647,Bangalore,0
62,124930,Bangalore,1
39,71009,Delhi,1
29,139014,Mumbai,1
54,111159,Chennai,1
22,43595,Delhi,0
23,122794,Hyderabad,0
31,74308,Chennai,1
47,69681,Mumbai,1
41,65846,Bangalore,1
54,103148,Delhi,1
21,45392,Mumbai,0
57,31522,Delhi,0
35,83079,Chennai,1
49,104570,Chennai,1
44,60804,Mumbai,1
50,39918,Bangalore,0
45,39534,Bangalore,0
61,113930,Hyderabad,1
49,94066,Bangalore,1
20,53903,Chennai,0
56,32180,Delhi,0
31,64507,Mumbai,1
26,125160,Bangalore,1
36,68007,Delhi,1
18,90193,Chennai,0
29,41932,Chennai,0
52,117231,Mumbai,1
50,98233,Bangalore,1
22,77044,Delhi,0
45,27456,Chennai,0
22,137998,Bangalore,0
54,81267,Hyderabad,1
43,117995,Chennai,1
36,40096,Chennai,0
19,67568,Mumbai,0
57,85305,Bangalore,1
23,82240,Delhi,0
33,82104,Hyderabad,1
43,93676,Delhi,1
43,139101,Bangalore,1
65,69500,Mumbai,1
39,127120,Mumbai,1
22,91910,Delhi,0
51,91840,Mumbai,1
40,71019,Mumbai,1
33,38474,Mumbai,0
34,50856,Mumbai,0
56,45036,Delhi,0
29,149687,Chennai,1
47,123886,Hyderabad,1
55,83838,Hyderabad,1
59,108269,Hyderabad,1
38,138278,Bangalore,1
27,82640,Delhi,1
48,82961,Bangalore,1
35,102518,Delhi,1
40,91497,Delhi,1
37,85521,Chennai,1
20,32456,Bangalore,0
36,35057,Delhi,0
57,102867,Hyderabad,1
42,85648,Hyderabad,1
53,128785,Delhi,1
46,144150,Hyderabad,1
59,49672,Bangalore,0
56,87341,Hyderabad,1
27,33109,Chennai,0
24,131295,Bangalore,0
63,36053,Hyderabad,0
59,47617,Delhi,0
33,117749,Chennai,1
46,93690,Hyderabad,1
57,45807,Bangalore,0
41,145315,Bangalore,1
42,78578,Bangalore,1
61,103366,Delhi,1
58,109843,Bangalore,1
22,68213,Delhi,0
53,113916,Chennai,1
36,58029,Hyderabad,0
27,68694,Delhi,1
55,111980,Mumbai,1
40,65662,Chennai,1
26,102993,Delhi,1
37,98259,Chennai,1
59,128764,Bangalore,1
26,112833,Hyderabad,1
23,109675,Chennai,0
50,72425,Delhi,1
41,65483,Mumbai,1
31,69791,Chennai,1
30,54693,Mumbai,0
27,35114,Bangalore,0
24,91543,Hyderabad,0
65,140825,Hyderabad,1
20,111760,Bangalore,0
57,42176,Hyderabad,0
42,45218,Mumbai,0
29,133966,Hyderabad,1
28,119526,Chennai,1
20,78852,Bangalore,0
61,119317,Mumbai,1
46,105031,Bangalore,1
65,127734,Chennai,1
32,94993,Mumbai,1
37,130987,Chennai,1
30,73213,Hyderabad,1
46,85513,Bangalore,1
42,90916,Hyderabad,1
44,46241,Mumbai,0
56,43140,Bangalore,0
21,109040,Chennai,0
41,97684,Delhi,1
63,135872,Hyderabad,1
25,62363,Delhi,0
28,60755,Chennai,1
50,44313,Chennai,0
23,149048,Mumbai,0
46,140950,Bangalore,1
19,79381,Delhi,0
43,90799,Bangalore,1
33,75615,Delhi,1
41,54430,Delhi,0
38,147005,Delhi,1
63,110191,Bangalore,1
27,43035,Delhi,0
36,145244,Chennai,1
62,133935,Mumbai,1
63,86487,Chennai,1
57,25688,Delhi,0
19,58544,Mumbai,0
27,96932,Hyderabad,1
51,80476,Delhi,1
36,56147,Bangalore,0
25,31258,Mumbai,0
44,108748,Hyderabad,1
47,33232,Delhi,0
49,103215,Hyderabad,1
19,107831,Hyderabad,0
54,56711,Mumbai,0
36,81261,Delhi,1
57,71244,Mumbai,1
54,79600,Mumbai,1
60,112584,Delhi,1
51,72265,Delhi,1
51,96313,Hyderabad,1
50,97633,Delhi,1
42,139469,Chennai,1
20,108318,Chennai,0
41,58246,Delhi,0
40,128352,Delhi,1
40,56604,Delhi,0
55,121362,Bangalore,1
26,30811,Bangalore,0
52,69374,Mumbai,1
61,85899,Chennai,1
58,48891,Mumbai,0
22,118853,Chennai,0
20,63462,Mumbai,0
20,128692,Mumbai,0
20,66365,Bangalore,0
50,77196,Hyderabad,1
48,58202,Delhi,0
59,50048,Bangalore,0
40,138002,Delhi,1
59,68506,Bangalore,1
25,129771,Bangalore,0
45,141586,Chennai,1
65,82637,Chennai,1
39,49486,Chennai,0
62,90211,Bangalore,1
51,59959,Delhi,0
64,80640,Delhi,1
45,103964,Mumbai,1
52,63504,Bangalore,1
24,35494,Bangalore,0
60,63750,Bangalore,1
46,103986,Chennai,1
28,115408,Chennai,1
40,83606,Delhi,1
64,139037,Bangalore,1
57,82008,Bangalore,1
58,128740,Delhi,1
22,112973,Chennai,0
41,92251,Mumbai,1
19,43714,Hyderabad,0
61,127408,Chennai,1
20,41545,Delhi,0
33,127041,Bangalore,1
41,75181,Hyderabad,1
20,104310,Mumbai,0
61,83972,Bangalore,1
41,83188,Delhi,1
54,43047,Hyderabad,0
41,77171,Bangalore,1
59,61528,Mumbai,1
25,28396,Mumbai,0
49,92861,Chennai,1
53,40435,Bangalore,0
34,117279,Chennai,1
31,105199,Bangalore,1
62,145124,Chennai,1
30,41074,Mumbai,0
22,84250,Mumbai,0
63,83341,Delhi,1
61,135824,Bangalore,1
60,70537,Delhi,1
53,96063,Bangalore,1
37,136589,Mumbai,1
63,118003,Mumbai,1
41,91683,Mumbai,1
25,51342,Mumbai,0
33,128595,Chennai,1
19,72303,Hyderabad,0
54,73353,Chennai,1
53,42009,Hyderabad,0
23,33617,Bangalore,0
43,118969,Chennai,1
51,78843,Chennai,1
54,34666,Mumbai,0
38,109192,Delhi,1
46,86057,Hyderabad,1
40,41821,Hyderabad,0
58,102042,Mumbai,1
26,81704,Hyderabad,1
21,133972,Delhi,0
51,45056,Bangalore,0
28,46229,Bangalore,0
63,54552,Bangalore,0
51,142299,Bangalore,1
23,57847,Mumbai,0
58,97199,Bangalore,1
26,106922,Bangalore,1
57,94924,Delhi,1
50,109015,Mumbai,1
55,148418,Hyderabad,1
27,47439,Hyderabad,0
64,143227,Hyderabad,1
39,135432,Hyderabad,1
20,133165,Delhi,0
23,30958,Hyderabad,0
34,110344,Mumbai,1
54,79602,Hyderabad,1
58,28969,Chennai,0
58,96509,Bangalore,1
59,64596,Chennai,1
33,130472,Chennai,1
37,84446,Delhi,1
62,32852,Mumbai,0
46,79476,Chennai,1
47,51741,Bangalore,0
56,43830,Bangalore,0
63,66853,Bangalore,1
43,42139,Bangalore,0
50,98616,Delhi,1
38,56685,Chennai,0
25,60058,Chennai,0
33,43465,Delhi,0
21,63038,Chennai,0
57,79805,Mumbai,1
28,131624,Bangalore,1
54,119519,Bangalore,1
30,125023,Mumbai,1
49,92466,Chennai,1
49,140222,Bangalore,1
49,28037,Delhi,0
43,91249,Chennai,1
33,53199,Hyderabad,0
40,31377,Delhi,0
36,89866,Hyderabad,1
59,113148,Chennai,1
36,95345,Delhi,1
24,81482,Mumbai,0
34,120355,Bangalore,1
43,72964,Delhi,1
43,31705,Hyderabad,0
53,50513,Bangalore,0
53,62827,Delhi,1
42,91093,Chennai,1
53,61663,Hyderabad,1
61,105090,Delhi,1
26,37672,Chennai,0
41,129188,Bangalore,1
53,148069,Bangalore,1
27,51090,Hyderabad,0
50,77610,Hyderabad,1
20,30938,Delhi,0
26,118531,Bangalore,1
48,93069,Chennai,1
27,104463,Hyderabad,1
26,67987,Hyderabad,1
38,46299,Chennai,0
57,121904,Bangalore,1
55,69089,Hyderabad,1
50,94774,Chennai,1
63,98783,Bangalore,1
48,131921,Delhi,1
41,68416,Delhi,1
44,101507,Bangalore,1
64,139307,Delhi,1
56,87205,Bangalore,1
59,127616,Hyderabad,1
54,54824,Delhi,0
55,87973,Mumbai,1
51,107447,Hyderabad,1
42,44369,Mumbai,0
20,100047,Delhi,0
30,27482,Chennai,0
38,79890,Mumbai,1
44,115505,Mumbai,1
44,90774,Hyderabad,1
48,139401,Delhi,1
63,43098,Hyderabad,0
31,98516,Bangalore,1
60,87701,Hyderabad,1
42,66124,Mumbai,1
47,144553,Hyderabad,1
39,96601,Bangalore,1
61,126186,Bangalore,1
57,88462,Mumbai,1
33,61569,Hyderabad,1
37,54473,Bangalore,0
36,117392,Mumbai,1
62,117404,Chennai,1
38,87888,Bangalore,1
53,147381,Bangalore,1
36,40974,Hyderabad,0
61,96197,Chennai,1
43,132266,Bangalore,1
27,63070,Delhi,1
36,118603,Delhi,1
40,146111,Chennai,1
59,58612,Chennai,0
31,51485,Hyderabad,0
35,147293,Hyderabad,1
62,60601,Mumbai,1
24,105698,Hyderabad,0
33,56779,Delhi,0
60,143644,Hyderabad,1
32,108616,Mumbai,1
21,38133,Chennai,0
39,119025,Chennai,1
24,114285,Mumbai,0
18,97135,Mumbai,0
44,110575,Chennai,1
48,110267,Mumbai,1
36,67096,Bangalore,1
59,32754,Delhi,0
59,100252,Mumbai,1
52,121821,Delhi,1
29,79773,Mumbai,1
20,134602,Chennai,0
49,49420,Bangalore,0
20,26214,Bangalore,0
54,104007,Delhi,1
39,62298,Chennai,1
59,96211,Hyderabad,1
49,141557,Mumbai,1
50,86344,Bangalore,1
30,131012,Delhi,1
39,46298,Chennai,0
59,58720,Mumbai,0
18,121549,Bangalore,0
36,99420,Mumbai,1
29,105079,Chennai,1
45,92538,Bangalore,1
23,77538,Delhi,0
29,43430,Chennai,0
38,147660,Mumbai,1
18,59181,Chennai,0
33,83554,Bangalore,1
39,64576,Hyderabad,1
64,100088,Delhi,1
34,110679,Bangalore,1
62,55972,Delhi,0
60,40495,Chennai,0
37,45934,Chennai,0
61,90866,Bangalore,1
62,40389,Bangalore,0
41,105560,Mumbai,1
32,42507,Chennai,0
27,84634,Hyderabad,1
41,79505,Hyderabad,1
48,124267,Hyderabad,1
60,133213,Mumbai,1
33,114173,Hyderabad,1
23,93879,Chennai,0
51,117244,Bangalore,1
22,145225,Hyderabad,0
25,33094,Hyderabad,0
50,51497,Hyderabad,0
52,44641,Mumbai,0
38,136999,Hyderabad,1
46,40235,Mumbai,0
63,101434,Chennai,1
23,142819,Hyderabad,0
46,130996,Delhi,1
47,42294,Hyderabad,0
44,84873,Hyderabad,1
21,98242,Chennai,0
61,130764,Bangalore,1
64,27853,Chennai,0
34,132014,Delhi,1
65,53560,Hyderabad,0
22,30936,Chennai,0
40,116800,Delhi,1
52,32897,Delhi,0
48,29159,Bangalore,0
44,48590,Mumbai,0
59,120589,Chennai,1
41,141828,Chennai,1
46,138982,Chennai,1
42,35518,Hyderabad,0
26,110660,Bangalore,1
25,48392,Hyderabad,0
43,94316,Mumbai,1
64,54188,Delhi,0
19,64107,Chennai,0
61,119253,Hyderabad,1
45,94721,Chennai,1
32,57441,Chennai,0
40,45332,Bangalore,0
30,147868,Delhi,1
20,131099,Chennai,0
57,125408,Delhi,1
33,52011,Delhi,0
24,102849,Delhi,0
46,103352,Delhi,1
33,122064,Delhi,1
43,82535,Mumbai,1
52,53477,Delhi,0
26,91046,Bangalore,1
32,131926,Hyderabad,1
38,100690,Hyderabad,1
61,132267,Bangalore,1
33,64552,Mumbai,1
60,93321,Mumbai,1
44,64387,Bangalore,1
21,97970,Hyderabad,0
65,144482,Mumbai,1
58,113965,Chennai,1
53,89962,Delhi,1
40,148415,Chennai,1
51,66777,Chennai,1
44,44558,Bangalore,0
42,49101,Hyderabad,0
48,56584,Mumbai,0
37,137399,Mumbai,1
47,144896,Delhi,1
53,79090,Chennai,1
53,94467,Mumbai,1
42,56831,Bangalore,0
31,68288,Delhi,1
46,136035,Bangalore,1
23,95206,Mumbai,0
21,60187,Chennai,0
61,104294,Hyderabad,1
20,139507,Delhi,0
30,130467,Hyderabad,1
64,113008,Hyderabad,1
31,87835,Mumbai,1
39,64739,Delhi,1
31,147835,Mumbai,1
65,40376,Chennai,0
33,116177,Hyderabad,1
63,51805,Chennai,0
33,97362,Bangalore,1
36,74894,Chennai,1
52,110029,Bangalore,1
37,59283,Bangalore,0
50,140711,Chennai,1
47,37924,Chennai,0
38,144843,Mumbai,1
41,66015,Chennai,1
20,98731,Mumbai,0
65,44126,Delhi,0
34,97523,Hyderabad,1
55,119373,Chennai,1
36,44976,Mumbai,0
39,55149,Chennai,0
54,134230,Mumbai,1
49,97173,Bangalore,1
34,125055,Chennai,1
64,109108,Chennai,1
47,47050,Bangalore,0
28,43344,Hyderabad,0
49,49123,Hyderabad,0
59,32698,Hyderabad,0
20,134978,Delhi,0
60,31358,Delhi,0
44,43021,Mumbai,0
22,117690,Mumbai,0
18,53668,Hyderabad,0
47,73916,Delhi,1
57,108588,Hyderabad,1
48,111413,Chennai,1
19,25866,Hyderabad,0
53,78914,Delhi,1
19,94391,Bangalore,0
52,62576,Delhi,1
50,131582,Chennai,1
29,39026,Delhi,0
51,44516,Mumbai,0
30,106235,Hyderabad,1
34,131851,Bangalore,1
35,129193,Chennai,1
23,73896,Chennai,0
47,99055,Mumbai,1
62,54603,Bangalore,0
61,133535,Delhi,1
59,137488,Delhi,1
23,78120,Chennai,0
42,97443,Chennai,1
21,108459,Delhi,0
62,47463,Delhi,0
49,135799,Chennai,1
59,127809,Bangalore,1
54,137454,Delhi,1
51,145475,Delhi,1
32,52710,Hyderabad,0
48,60532,Delhi,1
22,114709,Bangalore,0
52,98860,Delhi,1
29,146735,Bangalore,1
19,52152,Hyderabad,0
27,123599,Chennai,1
22,64226,Mumbai,0
54,56519,Hyderabad,0
42,113740,Hyderabad,1
39,75311,Mumbai,1
62,119917,Delhi,1
50,122708,Bangalore,1
21,37803,Chennai,0
32,134926,Delhi,1
